Item_name,Number,ExpiryDate
藍鑽蝦排,3,2024-02-23
黑胡椒雞塊,5,2024-03-01
香辣雞球,3,2024-04-10
M+原味炸雞翅(4支/臺灣),10,2024-02-05
M+辣味炸雞翅(4支/臺灣),2,2024-02-25
泰式月亮蝦餅(240克/1片裝/台灣),8,2024-03-07
M+辣味炸雞腿(4支/臺灣),10,2024-03-12
卡辣雞腿排(4片/臺灣),4,2024-02-11
酥脆雞軟骨(300G±5%/台灣),4,2024-02-06
唐揚無骨雞腿塊350克,3,2024-03-20
M+薯條(500G/美國),2,2024-03-07
爆卵柳葉魚,5,2024-04-05
酸菜魚,2,2024-03-15
鹽烤吳郭魚,3,2024-02-04
鬼頭刀,2,2024-04-05
輪切鮭魚(270G±10%/智利),2,2024-03-12
無刺虱目魚肚160/180,7,2024-04-07
A.鮮凍肉魚(200±5%/臺灣)),9,2024-04-30
B.鮮凍小白鯧(200±5%/印度),9,2024-02-22
蒲燒鰻,9,2024-02-21
薄鹽鯖魚片120G,4,2024-03-09
鱸魚清肉(300G~400G/臺灣),4,2024-02-17
鮭魚菲力切塊(150~200G/智利),17,2024-04-03
鐵板扁鱈(330G±5%/格陵蘭),17,2024-03-18
厚切扁鱈(270G/格陵蘭),4,2024-03-17
生凍吻仔魚(200G/臺灣),11,2024-02-25
肉多多牛肉爐,3,2024-02-18
老蔣羊肉爐,2,2024-03-20
新港鴨肉羹,5,2024-04-15
胡椒豬肚(1KG/臺灣),5,2024-02-12
麻辣湯底(1KG/臺灣),19,2024-03-17
雞白高湯(1kg/臺灣),10,2024-04-12
酸菜白肉鍋(1KG/臺灣),5,2024-03-21
一口烏魚子(100克/臺灣),4,2024-03-02
泰式奶茶QQ冰,2,2024-04-16
鹽味開心果,2,2024-02-20
客家擂茶35G*10包,2,2024-03-17
原味地瓜片,7,2024-03-12
梅子地瓜片,9,2024-03-11
日安玩美,9,2024-04-11
萬歲牌可可脆杏仁果,2,2024-03-05
草莓煉乳麻花捲,2,2024-02-14
高崗生巧克力,12,2024-03-25
椰子絲乾,12,2024-03-17
零食*綜合麻糬300克,12,2024-02-11
山藥人蔘(300G/彰化),5,2024-03-07
鮮採蓮子,3,2024-02-29
千雪蘋果2顆150元,3,2024-04-02
桶裝草莓200G,5,2024-02-09
白花椰菜,10,2024-03-09
崙背美生菜,6,2024-02-03
3斤紅肉柳丁(袋裝),2,2024-04-24
10P草蝦,2,2024-03-31
13香小龍蝦,2,2024-04-21
巴拿馬活凍白蝦20-30尾,4,2024-03-10
泰蝦仁600G/泰國,4,2024-04-05
海鮮味霸,4,2024-03-23
鮮凍馬鈴薯,4,2024-04-21
七味粉,3,2024-04-14
胡椒蝦調味粉(30±2克/臺灣),93,2024-03-10
玫瑰鹽玻璃罐(60±4克/巴基斯坦),93,2024-04-22
辣椒粉玻璃罐(27±2克/臺灣),17,2024-04-18
昆布鹽,8,2024-04-23
麻油猴頭菇680克,4,2024-02-03
青蔥拌醬200ML,6,2024-02-08
蒜頭拌醬200ML,6,2024-03-15
鹹蛋黃拌麵5包299,3,2024-02-22
台式香腸,6,2024-02-27
辣味鴨舌,6,2024-04-01
燒烤豬肋排500G,3,2024-02-20
高麗菜水餃10顆,4,2024-03-19
韭菜水餃10顆,3,2024-04-07
霸味鮮豆皮120G,3,2024-03-07
原味花生魚乾150G,5,2024-03-19
金門大地麵線250G,5,2024-03-19
B.韓式泡菜300G,2,2024-04-24
蒜泥白肉300G,3,2024-03-08
桂花豬肋排500G,3,2024-04-01
手工湯圓*鮮肉,8,2024-02-07
梅干爌肉550G,3,2024-02-29
起酥片10片裝/450G,3,2024-03-07
雞肉薄餅10片/1400G,3,2024-04-13
十八王公肉粽5顆/組,2,2024-02-21
抹茶芝麻燒麻糬,4,2024-04-06
紫薯花生燒麻糬,3,2024-04-01
鹹蛋油飯團,3,2024-03-09
麻滋滋酸辣粉111G買一送一,7,2024-02-18
A.麻辣魚蛋,11,2024-03-09
韓式辣味增180克,11,2024-03-31
海皇粽5粒(170±5%/台灣),11,2024-04-23
讚岐烏龍麵,3,2024-02-27
乾炒牛河450G,5,2024-03-19
黃金泡菜(550G/臺灣),5,2024-02-25
冷凍青花椰菜,5,2024-03-25
炒飯素-蝦料,5,2024-04-29
炒飯素-蟹味,5,2024-04-02
炒飯素-燒肉,5,2024-04-24
炒飯素-五目,2,2024-02-17
鐵板燒肉片500克,2,2024-04-09
榴槤春捲,2,2024-02-21
芒果青(300G/台灣),4,2024-04-19
手工黑豬肉水餃(1包20顆/臺灣),6,2024-02-07
莫札瑞拉起司球320克,6,2024-02-07
特製全熟小棒腿,7,2024-03-21
麻辣鴨血(450g/台灣),19,2024-03-07
滷大腸(300G/臺灣),6,2024-03-06
台灣豬軟骨排切塊600G,6,2024-04-13
西班牙梅花豬排2片/組,2,2024-04-21
台灣碎培根200G,2,2024-03-31
八色烤肉,4,2024-04-05
梅花豬300克,4,2024-04-23
豬五花300克,4,2024-04-07
戰斧豬150g,10,2024-04-10
伊比利梅花豬肉片(100克±10%),2,2024-03-28
台灣骰子豬,9,2024-03-31
松阪豬切片(200G/西班牙),4,2024-02-18
麻油松阪豬(300G內容物100G),6,2024-02-01
綜合烤麻糬(300G/臺灣),2,2024-04-16
檸檬小棒腿8支裝,2,2024-02-07
檸檬烤三節翅5支裝,7,2024-02-28
辣嗎啡醬(250克/台灣),2,2024-04-25
C*30cm316不沾陶晶蜂巢炒鍋,2,2024-02-23
304噴油瓶100CC,2,2024-03-09
台灣製木煎匙,2,2024-02-11
黑熊保溫盒,2,2024-03-14
研磨罐,2,2024-03-22
絞肉機,2,2024-03-28
刀具組,2,2024-03-06
蒂芬妮綠剪刀組,2,2024-04-29
B*26cm玫瑰鑄造平底鍋,2,2024-04-20
羊肩排肉片100克,10,2024-02-04
奮起湖腿排280G/四片裝,3,2024-03-02
A.蒜味鳳爪150G,2,2024-04-12
原味雞胸肉,2,2024-02-28
川辣雞胸肉,2,2024-03-14
法式雞胸肉,6,2024-04-16
大成寶寶雞佛,4,2024-03-16
舒肥雞胸肉(單片裝),4,2024-03-31
原味無骨雞腿排(250克±5%/加拿大),3,2024-02-19
